id,domain,text
S001,school,"ថ្ងៃស្អែក ខ្ញុំមាន presentation សម្រាប់មុខវិជ្ជា AI។"
S002,school,"អ្នកគ្រូបានផ្ញើ homework ថ្មីក្នុង Telegram group។"
S003,school,"ខ្ញុំត្រូវសរសេរ report មួយសម្រាប់ project ចុងក្រោយ។"
S004,school,"យប់មិញខ្ញុំ study ដល់ម៉ោងយប់ ព្រោះមាន exam ព្រឹកនេះ។"
S005,school,"ពេល online class ខ្លះ ខ្ញុំមិនសូវស្តាប់ព្រោះ internet មិនល្អ។"
S006,school,"ក្រុមខ្ញុំមិនទាន់ត្រៀម group presentation រួចទេ។"
S007,school,"សូម upload ឯកសាររបស់អ្នកឡើង Google Drive មុន deadline។"
S008,school,"ថ្ងៃស្អែកយើងមាន lab session សម្រាប់មុខវិជ្ជា Programming។"
S009,work,"ថ្ងៃនេះមាន meeting ពេលម៉ោងបីកន្លះល្ងាច។"
S010,work,"ខ្ញុំមិនទាន់ចប់ report ទេ ប៉ុន្តែ deadline ជាពេលយប់នេះ។"
S011,work,"អ្នកម៉ាឲ្យខ្ញុំ update ការងារទាំងអស់ក្នុង email។"
S012,work,"ពេល Zoom meeting មាន background noise ច្រើនណាស់។"
S013,work,"សូម share screen បង្ហាញ slides ទៅក្រុម។"
S014,work,"ខ្ញុំត្រូវ work overtime ព្រោះ project នេះជិត deadline ហើយ។"
S015,work,"យើងមាន team building ខែក្រោយ នៅខេត្ត។"
S016,work,"ក្នុង office ពេលព្រឹកៗគេលេងចម្រៀងដើម្បីបង្កើន motivation។"
S017,tech,"ខ្ញុំ scroll Facebook រាល់ព្រឹក មុនទៅរៀន។"
S018,tech,"ខ្ញុំលេង TikTok រហូតដល់ភ្លេចធ្វើ homework។"
S019,tech,"សូម check notification នៅលើទូរស័ព្ទមើល មានអ្វីថ្មី។"
S020,tech,"ខ្ញុំពិបាក login ចូល account email ព្រោះខ្ញុំភ្លេច password។"
S021,school,"ថ្ងៃស្អែកមាន quiz ប៉ុន្តែខ្ញុំនៅមិនទាន់ review ផង។"
S022,tech,"ពេល internet យឺត ខ្ញុំមិនអាចមើល video បានស្រួលទេ។"
S023,tech,"ខ្ញុំចូលចិត្តថត vlog ហើយបង្ហោះលើ Instagram។"
S024,tech,"ខ្ញុំត្រូវ update software នៅលើកុំព្យូទ័រ ព្រោះមាន error។"
S025,school,"តើអ្នកណា​អាចធ្វើ slides ហើយខ្ញុំនឹង demo ក្នុង class ថ្ងៃសៅរ៍?"
S026,work,"ថ្ងៃនេះមាន meeting ដើម្បី discuss progress project របស់យើង។"
S027,tech,"ខ្ញុំត្រូវ troubleshoot បញ្ហា network ព្រោះ connection មិនល្អ។"
S028,tech,"ខ្ញុំចង់រៀន coding ប៉ុន្តែខ្ញុំមិនដឹងចាប់ផ្តើមពីណា។"
S029,tech,"ខ្ញុំត្រូវ install antivirus software ថ្មី ព្រោះកុំព្យូទ័ររបស់ខ្ញុំមាន virus។"
S030,work,"ខ្ញុំត្រូវ prepare presentation សម្រាប់ client meeting ថ្ងៃស្អែក។"
S031,school,"មិត្តរួមថ្នាក់ខ្លះ cheat ក្នុង exam តែខ្ញុំមិនហ៊ានទេ។"
S032,school,"អ្នកអាច send slide files មកខ្ញុំតាម email បានទេ?"
S033,school,"គ្រូសុំអោយយើង join Google Meet មុនពេល class ចាប់ផ្តើម។"
S034,school,"ពេល exam ខ្ញុំហ៊ានមើល note តិចតួចនៅលើ phone។"
S035,school,"យើងត្រូវ finalize group report មុនម៉ោង ៥ ល្ងាច។"
S036,school,"ថ្ងៃសៅរ៍នេះយើងមាន extra class online សម្រាប់ revision។"
S037,school,"ខ្ញុំតែងតែមើល lecture recording មុន exam។"
S038,school,"គាត់បាន upload answer key ឡើង Google Classroom។"
S039,work,"boss ខ្ញុំសុំអោយ prepare KPI report សម្រាប់ monthly meeting។"
S040,work,"ថ្ងៃនេះខ្ញុំមាន two meetings តភ្ជាប់គ្នា ទាំង online ទាំង in-person។"
S041,work,"យើងត្រូវ send proposal ទៅ client មុន Friday deadline។"
S042,work,"ពេល meeting member ខ្លះភ្លេច mute microphone។"
S043,work,"ខ្ញុំប្រើ Excel ដើម្បី track task និង progress របស់ក្រុម។"
S044,work,"បន្ទាប់ពី lunch យើងមាន short meeting មួយទៀត។"
S045,work,"យប់មិញខ្ញុំ stay late នៅ office ដើម្បី finish project។"
S046,work,"ក្រុមយើង plan ប្រើ Slack ជា main communication tool។"
S047,tech,"ខ្ញុំចូលចិត្ត listen music នៅលើ YouTube ពេល coding។"
S048,tech,"យប់ៗខ្ញុំមើល YouTube video មុនចូលគេង។"
S049,tech,"ខ្ញុំភ្លេច save file មុន computer crash។"
S050,tech,"សូម restart router ម្តង មើលថា internet វាដើរ ឬអត់។"
S051,tech,"ខ្ញុំភ្លេច update app មួយចំនួនក្នុង phone ខ្ញុំ។"
S052,tech,"ខ្ញុំ backup រូបថតទៅ Google Photos រាល់ខែ។"
S053,tech,"ពេលមាន video ថ្មី មិត្តភក្តិខ្ញុំតែងតែ share ក្នុង Messenger group។"
S054,tech,"ខ្ញុំប្រើ dark mode ស្ទើរតែគ្រប់ app។"
S055,tech,"ខ្ញុំកំពុង edit video មួយ ដើម្បី upload លើ Facebook។"
S056,school,"ខ្ញុំបាន join study group ថ្មីក្នុង Telegram ដើម្បី discuss homework។"
S057,school,"ពេលខ្លះខ្ញុំ copy notes ពី friend ព្រោះខ្ញុំ miss class។"
S058,school,"teacher សុំអោយ submit assignment តាម Google Form។"
S059,school,"ពេលចូល class ខ្ញុំតែងតែបើក laptop ដើម្បី take notes។"
S060,school,"បន្ទាប់ពី exam យើងទៅផឹក coffee ជាមួយគ្នា។"
S061,work,"ក្រុមយើងមាន weekly standup meeting រៀងរាល់ព្រឹកចន្ទ។"
S062,work,"ខ្ញុំបាន receive feedback ពី boss អំពី last presentation។"
S063,work,"យើងត្រូវ adjust project timeline ព្រោះមាន delay។"
S064,work,"ខ្ញុំបាន send follow-up email ទៅ client បន្ទាប់ពី meeting។"
S065,work,"company យើង plan to move office ទៅ location ថ្មី។"
S066,tech,"ខ្ញុំមើល tutorial video នៅ YouTube ដើម្បីរៀន new framework។"
S067,tech,"ពេល download file ធំៗ ខ្ញុំ តែងតែប្រើ IDM។"
S068,tech,"ខ្ញុំចូលចិត្ត chat តាម Messenger ជាង phone call។"
S069,tech,"ខ្ញុំតែងតែ clear cache ពេល browser slow។"
S070,work,"យើងត្រូវ submit report នេះមុនម៉ោង ៥ ល្ងាច។"
S071,work,"boss ចង់អោយយើង brainstorm idea ថ្មីសម្រាប់ marketing campaign។"
S072,work,"សូម forward email នោះមកខ្ញុំ ដើម្បីខ្ញុំ double check។"
S073,work,"team ខាង IT កំពុង fix system error ឥឡូវនេះ។"
S074,work,"ថ្ងៃនេះរវល់ណាស់ ខ្ញុំមាន client meeting ពេញមួយព្រឹក។"
S075,work,"ខ្ញុំសុំ take leave មួយថ្ងៃ ព្រោះមានធុរៈផ្ទាល់ខ្លួន។"
S076,work,"កុំភ្លេច update status នៅក្នុង Trello board ផង។"
S077,work,"ក្រុមហ៊ុនយើងនឹងមាន annual party នៅចុងខែនេះ។"
S078,work,"manager បាន assign task ថ្មីអោយក្រុមយើងធ្វើបន្ត។"
S079,work,"ពេល present កុំភ្លេច highlight ចំណុចសំខាន់ៗប្រាប់ភ្ញៀវ។"
S080,school,"ខ្ញុំកំពុងស្រាវជ្រាវ paper ថ្មីៗសម្រាប់ literature review។"
S081,school,"semester នេះ ខ្ញុំយក credit ច្រើនពេក រាងហត់បន្តិច។"
S082,school,"សុំខ្ចី flash drive បន្តិច ដើម្បី copy មេរៀនសិន។"
S083,school,"group ពួកយើងត្រូវធ្វើ research paper លើប្រធានបទ AI។"
S084,school,"ថ្ងៃស្អែក deadline submit assignment ហើយ ខ្ញុំទើបតែចាប់ផ្តើម។"
S085,school,"teacher នឹងអោយពិន្ទុ bonus សម្រាប់អ្នកណាដែល volunteer។"
S086,school,"ខ្ញុំត្រូវ print handout មុនពេលចូលរៀន។"
S087,school,"midterm លើកនេះ សំណួរពិបាកណាស់ ធ្វើសឹងមិនទាន់។"
S088,school,"យើងត្រូវ prepare speech សម្រាប់សប្តាហ៍ក្រោយ។"
S089,school,"មានអ្នកណា record សំឡេងពេល lecture ទេ សុំ share ផង។"
S090,tech,"wifi នៅទីនេះ slow ណាស់ download file អត់ដើរទេ។"
S091,tech,"ខ្ញុំទើបតែ install iOS ថ្មី មាន feature ឡូយៗច្រើន។"
S092,tech,"keyboard របស់ខ្ញុំខូច key space អក្សរវាយមិនសូវចេញ។"
S093,tech,"battery ទូរស័ព្ទខ្ញុំកាន់តែខ្សោយ ត្រូវដូរថ្មីហើយ។"
S094,tech,"app នេះ ត្រូវ create account សិន ទើបអាចប្រើបាន។"
S095,tech,"ខ្ញុំកំពុង stream ហ្គេមនៅលើ Twitch។"
S096,tech,"កុំភ្លេច turn on notification ដើម្បីទទួលបានព័ត៌មានថ្មីៗ។"
S097,tech,"ខ្ញុំចង់ upgrade RAM កុំព្យូទ័រ ដើម្បីអោយវាដើរលឿនជាងមុន។"
S098,tech,"ពេលបើក tab ច្រើនពេក browser ចាប់ផ្តើមគាំង។"
S099,tech,"សូម click link ខាងក្រោម ដើម្បី join group telegram។"
S100,work,"ខែនេះក្រុមហ៊ុនអត់ទាន់បើក salary អោយយើងទេ។"
S101,work,"ខ្ញុំបាន send CV ទៅ HR សម្រាប់ position ថ្មី។"
S102,work,"boss ទើបតែ approve budget សម្រាប់ project នេះ។"
S103,work,"ឯកសារនេះនៅ pending មិនទាន់មាន signature ទេ។"
S104,work,"ថ្ងៃស្អែកខ្ញុំមាន interview ជាមួយ manager ថ្មី។"
S105,work,"សូមជួយ scan document នេះហើយផ្ញើតាម email។"
S106,work,"marketing team កំពុងតែរៀបចំ promotion ថ្មីសម្រាប់ខែក្រោយ។"
S107,work,"យើងមិនទាន់ hit target sales ប្រចាំខែនេះទេ។"
S108,work,"សូម book meeting room មួយម៉ោងសម្រាប់យើងពិភាក្សាគ្នា។"
S109,work,"projector ក្នុងបន្ទប់ប្រជុំខូចហើយ ត្រូវហៅជាងមកមើល។"
S110,work,"client គាត់ reject proposal យើងដោយសារតម្លៃថ្លៃពេក។"
S111,work,"ខ្ញុំទើបតែ request សុំដូរ shift ធ្វើការជាមួយមិត្តភក្តិ។"
S112,work,"បើអ្នកធ្វើការ overtime ច្រើន ប្រយ័ត្នប៉ះពាល់ដល់សុខភាព។"
S113,work,"ខ្ញុំមិនចង់លឺ negative feedback ពីភ្ញៀវទៀតទេ។"
S114,work,"អ្នកអាច draft email ជាភាសាអង់គ្លេសអោយខ្ញុំបានទេ?"
S115,work,"supervisor គាត់តែងតែ support ខ្ញុំពេលមានបញ្ហា។"
S116,work,"ខ្ញុំកំពុងរង់ចាំ confirmation ពីខាងគណនេយ្យ។"
S117,work,"កុំភ្លេច double check មុនពេល submit របាយការណ៍ទៅប្រធាន។"
S118,work,"team យើងត្រូវការ resources បន្ថែមដើម្បីបញ្ចប់ការងារនេះ។"
S119,work,"ប្រធានបាន schedule meeting ម្តងទៀតនៅសប្តាហ៍ក្រោយ។"
S120,work,"សូមធ្វើការ update contact list នៅក្នុងប្រព័ន្ធផង។"
S121,work,"ក្រុមហ៊ុននឹងផ្តល់ bonus សម្រាប់បុគ្គលិកឆ្នើមចុងឆ្នាំ។"
S122,work,"អ្នកត្រូវមាន professional skill សម្រាប់ការងារនេះ។"
S123,work,"ថ្ងៃនេះយើងមាន training ពីការប្រើប្រាស់ software ថ្មី។"
S124,work,"ខ្ញុំមានអារម្មណ៍ថា stress ខ្លាំងដោយសារ workload ច្រើនពេក។"
S125,work,"សូម save copy ទុកមួយទៀតក្រែងលោបាត់ original file។"
S126,work,"យើងត្រូវ focus ទៅលើ customer service អោយបានច្រើន។"
S127,work,"អ្នកណាជាអ្នក in charge ក្នុងគម្រោងសាងសង់មួយនេះ?"
S128,work,"ខ្ញុំបាន note ចំណុចសំខាន់ៗពេលប្រជុំរួចរាល់ហើយ។"
S129,work,"នេះជា policy ថ្មីរបស់ក្រុមហ៊ុនដែលគ្រប់គ្នាត្រូវគោរពតាម។"
S130,school,"ខ្ញុំដាក់ពាក្យសុំ scholarship ទៅរៀននៅបរទេស។"
S131,school,"ឆ្នាំនេះខ្ញុំត្រូវសរសេរ thesis ដើម្បីបញ្ចប់បរិញ្ញាបត្រ។"
S132,school,"ខ្ញុំមានអារម្មណ៍ភ័យណាស់ពេលត្រូវធ្វើ thesis defense ស្អែកនេះ។"
S133,school,"មុខវិជ្ជានេះពិបាកពេក ខ្ញុំគិតថាចង់ drop វាចោល។"
S134,school,"បើអ្នកប្រឡង fail អ្នកត្រូវតែ retake class នេះម្តងទៀត។"
S135,school,"គ្រូបានចែក syllabus សម្រាប់ឆមាសថ្មីនេះហើយ។"
S136,school,"ខ្ញុំទើបតែ register មុខវិជ្ជាបន្ថែមសម្រាប់រៀនថ្ងៃសៅរ៍។"
S137,school,"សូមកុំភ្លេចយក student ID មកជាមួយពេលចូលប្រឡង។"
S138,school,"យើងគួរតែទៅ library ដើម្បីរកសៀវភៅអានបន្ថែម។"
S139,school,"ខ្ញុំត្រូវសរសេរ summary ខ្លីមួយពីអត្ថបទដែលបានអាន។"
S140,school,"សុំជួយ review អត្ថបទអោយខ្ញុំផង ក្រែងលោមានកំហុស។"
S141,school,"presentation របស់យើងត្រូវមាន introduction ច្បាស់លាស់។"
S142,school,"topic នេះគួរឱ្យចាប់អារម្មណ៍ណាស់ សម្រាប់ធ្វើស្រាវជ្រាវ។"
S143,school,"គ្រូគាត់ focus ទៅលើ main point ជាជាងការពន្យល់វែងឆ្ងាយ។"
S144,school,"តើអ្នកបានដឹង score នៃការប្រឡងកាលពីសប្តាហ៍មុនទេ?"
S145,school,"ខ្ញុំចង់បាន grade A សម្រាប់មុខវិជ្ជាគណិតវិទ្យា។"
S146,school,"graduation ceremony នឹងធ្វើឡើងនៅខែតុលាខាងមុខនេះ។"
S147,school,"ក្រុមខ្ញុំខ្វះ member ម្នាក់ទៀតសម្រាប់ធ្វើកិច្ចការនេះ។"
S148,school,"អ្នកអាចពន្យល់ theory នេះម្តងទៀតបានទេ?"
S149,school,"ខ្ញុំចូលចិត្តរៀន practical ជាងការអង្គុយស្តាប់តែទ្រឹស្តី។"
S150,school,"ថ្ងៃស្អែកមហាវិទ្យាល័យមានរៀបចំ workshop អំពីបច្ចេកវិទ្យា។"
S151,school,"semester break នេះខ្ញុំមានគម្រោងទៅដើរលេងខេត្ត។"
S152,school,"យើងត្រូវធ្វើ reference អោយបានត្រឹមត្រូវពេលសរសេររបាយការណ៍។"
S153,school,"មិត្តភក្តិខ្ញុំគាត់ចង់ដូរ major ទៅរៀនខាងសេដ្ឋកិច្ចវិញ។"
S154,school,"កុំចាំដល់ជិត deadline ទើបចាប់ផ្តើមធ្វើអី វាមិនទាន់ទេ។"
S155,school,"ខ្ញុំបាន download paper ពីអ៊ីនធឺណិតមកអានបន្ថែម។"
S156,school,"ថ្ងៃនេះខ្ញុំអត់បានចូលរៀនទេ ព្រោះអត់មានកង់ជិះទៅ campus។"
S157,school,"សុំជួយ send link zoom មកអោយខ្ញុំផង។"
S158,school,"តើ project នេះជាការងារ group ឬក៏ individual?"
S159,school,"ខ្ញុំត្រូវប្រញាប់ទៅ submit ឯកសារនៅការិយាល័យសិក្សា។"
S160,tech,"ខ្ញុំកំពុងរកទិញ external hard drive ថ្មីមួយ។"
S161,tech,"ទិន្នន័យទាំងអស់គួរតែ save ចូលក្នុង cloud ដើម្បីសុវត្ថិភាព។"
S162,tech,"database របស់យើងមានបញ្ហា ទើបអតិថិជនចូលមិនបាន។"
S163,tech,"server កំពុងតែ down អញ្ចឹងវេបសាយដើរយឺតណាស់។"
S164,tech,"ខ្ញុំចូលចិត្ត design frontend ជាងធ្វើការជាមួយ backend។"
S165,tech,"UI/UX design នៃកម្មវិធីនេះមើលទៅរាងស្មុគស្មាញបន្តិច។"
S166,tech,"ពេលខ្ញុំសរសេរ code ខ្ញុំតែងតែស្តាប់ចម្រៀងបណ្តើរ។"
S167,tech,"ខ្ញុំរកឃើញ bug មួយចំនួននៅក្នុង version ថ្មីនេះ។"
S168,tech,"developer កំពុងតែព្យាយាម fix បញ្ហានេះអោយបានលឿន។"
S169,tech,"យើងនឹង deploy កម្មវិធីនេះនៅចុងសប្តាហ៍។"
S170,tech,"សូមជួយ test មើលថា function នេះដើរស្រួលឬអត់។"
S171,tech,"ក្រុមហ៊ុនទើបតែ release update ថ្មីសម្រាប់កម្មវិធីនេះ។"
S172,tech," account ហ្វេសប៊ុករបស់គាត់ត្រូវបានគេ hack កាលពីម្សិលមិញ។"
S173,tech,"ប្រយ័ត្នមានគេបោកប្រាស់ ឥឡូវសំបូរ scammer ណាស់។"
S174,tech,"ខ្ញុំត្រូវ block លេខទូរស័ព្ទមួយនេះ ព្រោះរំខានពេក។"
S175,tech,"សូមជួយ like និង share post នេះទៅកាន់មិត្តភក្តិផង។"
S176,tech,"កុំភ្លេច subscribe channel YouTube របស់ខ្ញុំម្នាក់មួយផង។"
S177,tech,"អ្នកអាចដាក់ link នៅក្នុង bio នៃ account Instagram បាន។"
S178,tech,"profile picture ថ្មីរបស់អ្នកមើលទៅឡូយណាស់។"
S179,tech,"អក្សរខ្មែរនៅជាប់គ្នាពេក ពិបាកអាននៅលើ screen ទូរស័ព្ទ។"
S180,tech,"ខ្ញុំប្រើ VPN ដើម្បីការពារឯកជនភាពនៅលើអុីនធឺណិត។"
S181,tech,"អ្នកអាច download កម្មវិធីនេះបានដោយ free នៅលើ App Store។"
S182,tech,"កុំចុចលើ link ដែលមិនស្គាល់ ប្រយ័ត្នឆ្លង virus កុំព្យូទ័រ។"
S183,tech,"ខ្ញុំភ្លេច password អញ្ចឹងខ្ញុំត្រូវចុច reset វិញ។"
S184,tech,"memory ទូរស័ព្ទពេញហើយ ខ្ញុំត្រូវលុបរូបខ្លះចោល។"
S185,tech,"app នេះតែងតែ crash ពេលខ្ញុំព្យាយាមបើកកាមេរ៉ា។"
S186,tech,"តើអ្នកដឹងពីរបៀប setup printer ថ្មីនេះទេ?"
S188,tech,"ខ្ញុំត្រូវ type ឯកសារនេះជាភាសាខ្មែរ អោយបានលឿន។"
S189,tech,"voice search feature ពិតជាមានភាពងាយស្រួលខ្លាំងណាស់។"
S242,work,"ខែនេះយើងត្រូវប្រជុំរឿង KPI និង target sales របស់ team នីមួយៗ។"
S243,work,"ខាងគណនេយ្យសុំអោយភ្ជាប់ invoice ជាមួយ payment voucher មុននឹងសុំ approve។"
S244,work,"marketing campaign លើកនេះ យើងនឹង focus ទៅលើ digital advertising ច្រើនជាងមុន។"
S245,work,"customer គាត់ complain ថាសេវាកម្មយើងយឺត អញ្ចឹងយើងត្រូវរក solution ជាបន្ទាន់។"
S246,work,"យើងត្រូវការ budget ច្រើនសម្រាប់រៀបចំ event នៅខែក្រោយ។"
S247,work,"HR កំពុងតែរៀបចំ onboarding session សម្រាប់ staff ថ្មី។"
S248,work,"ឯកសារនេះជា confidential អញ្ចឹងមិនអាច forward អោយអ្នកក្រៅក្រុមហ៊ុនបានទេ។"
S249,work,"ឆ្នាំនេះក្រុមហ៊ុនមាន policy ថ្មីទាក់ទងនឹង annual leave និង sick leave។"
S250,work,"ខ្ញុំទើបតែផ្ញើ quotation ទៅអោយ client ឥឡូវចាំតែគាត់ confirm ទេ។"
S251,work,"supplier គាត់ប្រាប់ថាទំនិញ out of stock អាចនឹង delay មួយអាទិត្យទៀត។"
S252,work,"profit margin របស់យើងខែនេះរាងធ្លាក់ចុះ ដោយសារ operation cost ឡើងថ្លៃ។"
S253,work,"សូមជួយ check inventory ផង មើលថាសល់ stock ប៉ុន្មានទៀត។"
S254,work,"director សុំអោយយើងធ្វើ weekly report បង្ហាញពី progress នៃការងារ។"
S255,work,"អ្នកអាចជួយ review draft contract នេះបន្តិចបានទេ មុននឹង print អោយសញ្ញេ។"
S256,work,"ក្រុមហ៊ុនយើងកំពុងតែរក partner ថ្មីដើម្បីពង្រីក market ទៅតាមខេត្ត។"
S257,work,"manager គាត់អោយ feedback មកវិញថា proposal នេះត្រូវកែ content ខ្លះ។"
S258,work,"ថ្ងៃនេះខ្ញុំមាន meeting ជាមួយ investor ដើម្បី present ពី business plan របស់យើង។"
S259,work,"ខាង operation team ត្រូវការ manpower បន្ថែមសម្រាប់ធ្វើការ project នេះ។"
S260,work,"សូមប្រមូល feedback ពី user មកវិភាគ ដើម្បី improve product របស់យើង។"
S261,work,"ខែក្រោយយើងនឹងមាន audit ពីខាងក្រៅ ដូច្នេះត្រូវរៀបចំ document អោយហើយ។"
S262,work,"តើអ្នកណាជាអ្នក handle account មួយនេះ?"
S263,work,"យើងត្រូវ build connection អោយបានច្រើនពេលទៅចូលរួម networking event។"
S264,work,"ថ្ងៃនេះប្រព័ន្ធ system របស់ធនាគារមានការ maintenance ទើប transfer លុយអត់បាន។"
S265,work,"អ្នកអាច scan QR code នេះដើម្បីធ្វើការ payment បាន។"
S266,work,"commission សម្រាប់ខែនេះ នឹងត្រូវបូកបញ្ចូលក្នុង payroll តែម្តង។"
S267,work,"មុននឹង launch product ថ្មី យើងត្រូវធ្វើ market research អោយបានច្បាស់លាស់។"
S268,work,"ខ្ញុំសុំ claim លុយសាំងនិងថ្លៃធ្វើដំណើរសម្រាប់ចុះ site កាលពីសប្តាហ៍មុន។"
S269,work,"ឥឡូវនេះការប្រកួតប្រជែងលើទីផ្សារមានការកើនឡើង ដូច្នេះយើងត្រូវមាន strategy ល្អ។"
S270,work,"តើក្រុមហ៊ុនមានផ្តល់ insurance សម្រាប់បុគ្គលិកដែរឬទេ?"
S271,work,"boss ចង់ឃើញ data analysis ទាក់ទងនឹងការលក់ក្នុងត្រីមាសទីមួយ។"
S272,tech,"វីដេអូនេះ viral ខ្លាំងណាស់ ត្រឹមតែមួយយប់សោះ view ឡើងជាងមួយលាន។"
S273,tech,"content creator ឥឡូវរកលុយបានច្រើនតាមរយៈ sponsor និងការផ្សាយពាណិជ្ជកម្ម។"
S274,tech,"ពេលថត vlog កុំភ្លេចបើក stabilizer ផង កុំអោយវីដេអូវាញ័រពេក។"
S275,tech,"ខ្ញុំប្រើ Lightroom ដើម្បី edit ពណ៌រូបថតមុននឹង post ចូល Instagram។"
S276,tech,"algorithm របស់ TikTok ឥឡូវរុញតែវីដេអូណាដែលមាន watch time ខ្ពស់ទេ។"
S277,tech,"caption មួយនេះមើលទៅរាងវែងពេក គួរតែសរសេរអោយ short and sweet វិញ។"
S278,tech,"channel YouTube របស់គាត់ទើបតែបាន silver play button។"
S279,tech,"សូមចុច subscribe និង turn on bell notification ដើម្បីកុំអោយរំលងវីដេអូថ្មីៗ។"
S280,tech,"ខ្ញុំកំពុងតែ render វីដេអូ ប្រហែលជាកន្លះម៉ោងទៀតទើបរួច។"
S281,tech,"thumbnail នៃវីដេអូនេះទាក់ទាញខ្លាំង ទើប click-through rate ឡើងខ្ពស់។"
S282,tech,"ខ្ញុំទើបតែទិញ microphone ថ្មី សម្រាប់ធ្វើ podcast សប្តាហ៍ក្រោយ។"
S283,tech,"influencer ម្នាក់នេះមាន engagement ល្អណាស់ ពេលគាត់ live លក់អីវ៉ាន់ម្តងៗ។"
S284,tech,"ទូរស័ព្ទខ្ញុំ update ទៅ iOS ថ្មីហើយ តែមានអារម្មណ៍ថា battery ឆាប់អស់ជាងមុន។"
S285,tech,"អេក្រង់ laptop ខ្ញុំខូច pixel មួយគ្រាប់ មើលទៅរាងទើសភ្នែកបន្តិច។"
S286,tech,"ខ្ញុំចង់ backup ទិន្នន័យចូល iCloud តែ storage វាពេញបាត់ហើយ។"
S287,tech,"ឥឡូវគេពេញនិយមប្រើ AI ដើម្បី generate រូបភាពនិងអត្ថបទ។"
S288,tech,"កុំភ្ជាប់ public Wi-Fi ផ្តេសផ្តាស ប្រយ័ត្នគេ hack យក password។"
S289,tech,"ខ្ញុំកំពុងរកទិញ case និង screen protector សម្រាប់ទូរស័ព្ទថ្មី។"
S290,tech,"router នៅផ្ទះខ្ញុំរាងចាស់ហើយ ទើបសេវា internet មិនសូវខ្លាំង។"
S291,tech,"app នេះស៊ី RAM ខ្លាំងណាស់ ពេលបើកចោលធ្វើអោយទូរស័ព្ទកម្តៅឡើង។"
